Ticket_ID,Ticket_Text
291,I need help with updating my healthcare benefits.
292,Requesting a new laptop for onboarding.
293,Vacation policy clarification.
294,Error in my payroll statement.
295,Complaint about coworker harassment incident.
296,I need help with updating my healthcare benefits.
297,Requesting a new laptop for onboarding.
298,Vacation policy clarification.
299,Error in my payroll statement.
300,Complaint about coworker harassment incident.
301,I need help with updating my healthcare benefits.
302,Requesting a new laptop for onboarding.
303,Vacation policy clarification.
304,Error in my payroll statement.
305,Complaint about coworker harassment incident.
306,I need help with updating my healthcare benefits.
307,Requesting a new laptop for onboarding.
308,Vacation policy clarification.
309,Error in my payroll statement.
310,Complaint about coworker harassment incident.
311,I need help with updating my healthcare benefits.
312,Requesting a new laptop for onboarding.
313,Vacation policy clarification.
314,Error in my payroll statement.
315,Complaint about coworker harassment incident.
316,I need help with updating my healthcare benefits.
317,Requesting a new laptop for onboarding.
318,Vacation policy clarification.
319,Error in my payroll statement.
320,Complaint about coworker harassment incident.
321,I need help with updating my healthcare benefits.
322,Requesting a new laptop for onboarding.
323,Vacation policy clarification.
324,Error in my payroll statement.
325,Complaint about coworker harassment incident.
326,I need help with updating my healthcare benefits.
327,Requesting a new laptop for onboarding.
328,Vacation policy clarification.
329,Error in my payroll statement.
330,Complaint about coworker harassment incident.
331,I need help with updating my healthcare benefits.
332,Requesting a new laptop for onboarding.
333,Vacation policy clarification.
334,Error in my payroll statement.
335,Complaint about coworker harassment incident.
336,I need help with updating my healthcare benefits.
337,Requesting a new laptop for onboarding.
338,Vacation policy clarification.
339,Error in my payroll statement.
340,Complaint about coworker harassment incident.
341,I need help with updating my healthcare benefits.
342,Requesting a new laptop for onboarding.
343,Vacation policy clarification.
344,Error in my payroll statement.
345,Complaint about coworker harassment incident.
346,I need help with updating my healthcare benefits.
347,Requesting a new laptop for onboarding.
348,Vacation policy clarification.
349,Error in my payroll statement.
350,Complaint about coworker harassment incident.
351,I need help with updating my healthcare benefits.
352,Requesting a new laptop for onboarding.
353,Vacation policy clarification.
354,Error in my payroll statement.
355,Complaint about coworker harassment incident.
356,I need help with updating my healthcare benefits.
357,Requesting a new laptop for onboarding.
358,Vacation policy clarification.
359,Error in my payroll statement.
360,Complaint about coworker harassment incident.
361,I need help with updating my healthcare benefits.
362,Requesting a new laptop for onboarding.
363,Vacation policy clarification.
364,Error in my payroll statement.
365,Complaint about coworker harassment incident.
366,I need help with updating my healthcare benefits.
367,Requesting a new laptop for onboarding.
368,Vacation policy clarification.
369,Error in my payroll statement.
370,Complaint about coworker harassment incident.
371,I need help with updating my healthcare benefits.
372,Requesting a new laptop for onboarding.
373,Vacation policy clarification.
374,Error in my payroll statement.
375,Complaint about coworker harassment incident.
376,I need help with updating my healthcare benefits.
377,Requesting a new laptop for onboarding.
378,Vacation policy clarification.
379,Error in my payroll statement.
380,Complaint about coworker harassment incident.
381,I need help with updating my healthcare benefits.
382,Requesting a new laptop for onboarding.
383,Vacation policy clarification.
384,Error in my payroll statement.
385,Complaint about coworker harassment incident.
386,I need help with updating my healthcare benefits.
387,Requesting a new laptop for onboarding.
388,Vacation policy clarification.
389,Error in my payroll statement.
390,Complaint about coworker harassment incident.
391,I need help with updating my healthcare benefits.
392,Requesting a new laptop for onboarding.
393,Vacation policy clarification.
394,Error in my payroll statement.
395,Complaint about coworker harassment incident.
396,I need help with updating my healthcare benefits.
397,Requesting a new laptop for onboarding.
398,Vacation policy clarification.
399,Error in my payroll statement.
400,Complaint about coworker harassment incident.
401,I need help with updating my healthcare benefits.
402,Requesting a new laptop for onboarding.
403,Vacation policy clarification.
404,Error in my payroll statement.
405,Complaint about coworker harassment incident.
406,I need help with updating my healthcare benefits.
407,Requesting a new laptop for onboarding.
408,Vacation policy clarification.
409,Error in my payroll statement.
410,Complaint about coworker harassment incident.
411,I need help with updating my healthcare benefits.
412,Requesting a new laptop for onboarding.
413,Vacation policy clarification.
414,Error in my payroll statement.
415,Complaint about coworker harassment incident.
416,I need help with updating my healthcare benefits.
417,Requesting a new laptop for onboarding.
418,Vacation policy clarification.
419,Error in my payroll statement.
420,Complaint about coworker harassment incident.
421,I need help with updating my healthcare benefits.
422,Requesting a new laptop for onboarding.
423,Vacation policy clarification.
424,Error in my payroll statement.
425,Complaint about coworker harassment incident.
426,I need help with updating my healthcare benefits.
427,Requesting a new laptop for onboarding.
428,Vacation policy clarification.
429,Error in my payroll statement.
430,Complaint about coworker harassment incident.
431,I need help with updating my healthcare benefits.
432,Requesting a new laptop for onboarding.
433,Vacation policy clarification.
434,Error in my payroll statement.
435,Complaint about coworker harassment incident.
436,I need help with updating my healthcare benefits.
437,Requesting a new laptop for onboarding.
438,Vacation policy clarification.
439,Error in my payroll statement.
440,Complaint about coworker harassment incident.
441,I need help with updating my healthcare benefits.
442,Requesting a new laptop for onboarding.
443,Vacation policy clarification.
444,Error in my payroll statement.
445,Complaint about coworker harassment incident.
446,I need help with updating my healthcare benefits.
447,Requesting a new laptop for onboarding.
448,Vacation policy clarification.
449,Error in my payroll statement.
450,Complaint about coworker harassment incident.
451,I need help with updating my healthcare benefits.
452,Requesting a new laptop for onboarding.
453,Vacation policy clarification.
454,Error in my payroll statement.
455,Complaint about coworker harassment incident.
456,I need help with updating my healthcare benefits.
457,Requesting a new laptop for onboarding.
458,Vacation policy clarification.
459,Error in my payroll statement.
460,Complaint about coworker harassment incident.
461,I need help with updating my healthcare benefits.
462,Requesting a new laptop for onboarding.
463,Vacation policy clarification.
464,Error in my payroll statement.
465,Complaint about coworker harassment incident.
466,I need help with updating my healthcare benefits.
467,Requesting a new laptop for onboarding.
468,Vacation policy clarification.
469,Error in my payroll statement.
470,Complaint about coworker harassment incident.
471,I need help with updating my healthcare benefits.
472,Requesting a new laptop for onboarding.
473,Vacation policy clarification.
474,Error in my payroll statement.
475,Complaint about coworker harassment incident.
476,I need help with updating my healthcare benefits.
477,Requesting a new laptop for onboarding.
478,Vacation policy clarification.
479,Error in my payroll statement.
480,Complaint about coworker harassment incident.
481,I need help with updating my healthcare benefits.
482,Requesting a new laptop for onboarding.
483,Vacation policy clarification.
484,Error in my payroll statement.
485,Complaint about coworker harassment incident.
486,I need help with updating my healthcare benefits.
487,Requesting a new laptop for onboarding.
488,Vacation policy clarification.
489,Error in my payroll statement.
490,Complaint about coworker harassment incident.
491,I need help with updating my healthcare benefits.
492,Requesting a new laptop for onboarding.
493,Vacation policy clarification.
494,Error in my payroll statement.
495,Complaint about coworker harassment incident.
496,I need help with updating my healthcare benefits.
497,Requesting a new laptop for onboarding.
498,Vacation policy clarification.
499,Error in my payroll statement.
500,Complaint about coworker harassment incident.
